id,first_name,last_name,date_of_fee_submission,Semester
111111,John,Doe,30-1-2003,1
111112,Jane,Smith,16-1-2003,1
111113,Sarah,Thomas,16-1-2003,1
111114,Frank,Brown,16-1-2003,1
111115,Mike,Davis,16-1-2003,1
111116,Jennifer,Wilson,20-1-2003,1
111117,Jessica,Garcia,16-1-2003,1
111118,Fred,Clark,16-1-2003,1
111119,Bob,Lopez,31-1-2003,1
111111,John,Doe,15-2-2003,2
111112,Jane,Smith,29-2-2003,2
111113,Sarah,Thomas,29-2-2003,2
111114,Frank,Brown,26-2-2003,2
111115,Mike,Davis,15-2-2003,2
111116,Jennifer,Wilson,25-2-2003,2
111117,Jessica,Garcia,29-2-2003,2
111118,Fred,Clark,29-2-2003,2
111119,Bob,Lopez,14-2-2003,2
111111,John,Doe,15-3-2003,3
111112,Jane,Smith,19-3-2003,3
111113,Sarah,Thomas,22-3-2003,3
111114,Frank,Brown,19-3-2003,3
111115,Mike,Davis,23-3-2003,3
111116,Jennifer,Wilson,31-3-2003,3
111117,Jessica,Garcia,27-3-2003,3
111118,Fred,Clark,18-3-2003,3
111119,Bob,Lopez,17-3-2003,3
111111,John,Doe,26-4-2003,4
111112,Jane,Smith,22-4-2003,4
111113,Sarah,Thomas,27-4-2003,4
111114,Frank,Brown,31-4-2003,4
111115,Mike,Davis,28-4-2003,4
111116,Jennifer,Wilson,23-4-2003,4
111117,Jessica,Garcia,17-4-2003,4
111118,Fred,Clark,22-4-2003,4
111119,Bob,Lopez,22-4-2003,4
